Metric,Segment,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
0.0716562509187778,0.08057263319666738,0.07775293508490533,0.080565644653078,0.07475214519774664,0.08903636595627458,0.07522181323006874,0.08128482625834978,0.08173512345365103,0.0716562509187778,0.08057263319666738,0.08825971413349129,0.07497662557669245,0.08640190966710877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044913.9500000002,1736021.6600000001,1717799.8199999996,1801556.7299999995,1867888.9200000002,1770940.8499999999,1654101.4899999998,1821642.8300000005,2337356.190000001,2044913.9500000002,1736021.6600000001,2760179.930000001,1953072.1699999997,1929824.1400000004,1919088.1799999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715569.94,653145.5799999998,787821.5700000001,838697.1299999999,737578.1600000003,722011.58,684074.1899999998,645942.9600000002,685237.9099999999,715569.94,653145.5799999998,856298.26,597933.51,640396.5099999999,597625.9600000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611091.8900000001,1771418.9699999997,1272808.25,1336347.8599999999,1484776.78,1510642.9800000002,1498428.2400000002,1700957.6399999997,1772269.0999999996,1611091.8900000001,1771418.9699999997,1926835.9400000002,519234.05672114337,486297.0686512191,469349.15795650915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4371575.78,4160586.21,3778429.6399999997,3976601.7199999993,4090243.8600000003,4003595.41,3836603.92,4168543.4300000006,4794863.2,4371575.78,4160586.21,5543314.130000002,3070239.736721143,3056517.7186512193,2986063.2979565086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.017178140261747802,0.014468732871798924,0.0167388677554398,0.017218282377696334,0.01782154435374602,0.016733215446283645,0.015054017290437028,0.01630770135764501,0.02043220364155155,0.017178140261747802,0.014468732871798924,0.022673799540834004,0.015544138145006521,0.015442687029454357,0.016999777481677605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01684475858440759,0.015467282203130428,0.01803847792589037,0.018944421463924,0.01675479107998903,0.016609117679384628,0.015799246378300363,0.015123758569403473,0.01623453252219011,0.01684475858440759,0.015467282203130428,0.020161259036177704,0.013683667429552241,0.014532578525714586,0.013819267947001047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01510058345034053,0.016057391476509673,0.015801103182585544,0.01610223830377789,0.017306101559067116,0.01684725589775963,0.015806557108498376,0.017316582860326193,0.017389614592122352,0.01510058345034053,0.016057391476509673,0.01690119565419662,0.0044131077912232496,0.004070875248209612,0.004686810540507325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11928146.809999976,12634405.739999978,11317967.329999994,11778516.189999998,11867984.099999994,11995225.909999998,11209754.360000003,12500116.410000006,12697663.739999993,11928146.809999976,12634405.739999978,13366654.349999992,12229288.020000022,12620079.870000007,12358694.239999982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3595398.5799999987,3809933.5500000007,4041667.4700000016,4130759.61,4160734.720000002,4029388.16,3771721.789999999,3868925.5200000014,3774679.6899999995,3595398.5799999987,3809933.5500000007,3902105.370000001,3488347.4299999997,3817003.3800000018,3644338.209999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6026600.9,6519735.600000002,4859408.280000001,5023149.99,5255478.61,5516439.519999999,5425518.230000002,6153838.899999999,6146148.729999997,6026600.9,6519735.600000002,6723532.7700000005,5220353.316721147,5447615.768651221,5846127.95795651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292477.83,301396.2200000001,524530.8899999998,529407.9300000002,452438.47000000003,494132.40999999974,387474.3600000001,387218.26999999996,358648.61,292477.83,301396.2200000001,300551.9400000002,236863.82,247608.24000000005,232758.73000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21842624.119999975,23265471.10999998,20743573.97,21461833.72,21736635.899999995,22035185.999999996,20794468.740000002,22910099.100000005,22977140.76999999,21842624.119999975,23265471.10999998,24292844.429999992,21174852.586721167,22132307.258651227,22081919.13795649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.10020146762894311,0.10530043827101943,0.11028640019141348,0.11257254038827186,0.11323253902469876,0.11334014881348169,0.10202024300032034,0.11190347635275885,0.11099773856359686,0.10020146762894311,0.10530043827101943,0.10980184225291303,0.09733062880003746,0.10098741107007145,0.10947649734578138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.08463689949695462,0.09022386309806239,0.09254066176606994,0.09330525671167414,0.0945150558319903,0.09269184037929018,0.08711096355004135,0.09058492639579785,0.08942902792426573,0.08463689949695462,0.09022386309806239,0.09187377906271824,0.07983059205170365,0.08661961844977578,0.08427024524417269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.056486653788783786,0.05909948387452164,0.060326456588092166,0.06052612541662583,0.06125624254857008,0.06152139815190103,0.05723247964526753,0.06264909761124245,0.06030639344812942,0.056486653788783786,0.05909948387452164,0.05897530789942218,0.04436916569078762,0.04560291563316839,0.05837806176919581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0716562509187778,0.08057263319666738,0.07775293508490533,0.080565644653078,0.07475214519774664,0.08903636595627458,0.07522181323006874,0.08128482625834978,0.08173512345365103,0.0716562509187778,0.08057263319666738,0.08825971413349129,0.07497662557669245,0.08640190966710877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119041637.73500001,119984360.44000012,102623417.84985718,104630455.60999988,104810721.38999991,105833864.12999997,109877746.12499997,111704451.17000005,114395697.64500009,119041637.73500001,119984360.44000012,121734335.92500016,125646861.33000012,124966862.06999998,112889017.6396954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42480272.80499999,42227559.53000001,43674503.64918268,44271456.45999995,44021925.220000006,43470796.82000005,43297900.01499999,42710478.15499994,42208662.864999965,42480272.80499999,42227559.53000001,42472459.605000064,43696875.35000006,44066268.68499999,43245847.91987426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106690704.72,110317978.64500004,80551859.9108173,82991434.77999996,85794988.25499998,89667005.07000001,94797888.60500002,98227095.59500001,101915375.44499998,106690704.72,110317978.64500004,114005895.17000005,117657234.15000004,119457620.04500003,100142549.80012576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4081679.215000001,3740677.3,6746123.338330803,6571137.515000002,6052514.865000001,5549781.875,5151090.4,4763721.445,4387937.460000001,4081679.215000001,3740677.3,3405312.8649999998,3159168.849999999,2865772.7699999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272294294.475,276270575.91500014,233595904.74818796,238464484.3649998,240680149.7299999,244521447.89500004,253124625.14499998,257405746.365,262907673.41500005,272294294.475,276270575.91500014,281618003.5650003,290160139.68000025,291356523.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4009380.1699999953,3974798.72,3384987.1799999992,3109533.490000002,3428196.740000005,3520282.540000001,3596427.670000003,3678816.300000002,3898059.6000000006,4009380.1699999953,3974798.72,4201705.530000002,4169952.509999997,4341032.370000001,4332644.777077786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823434.9099999995,802791.0600000002,841448.9899999996,781736.7,855842.0199999994,847772.8399999988,828354.2400000002,826748.2400000001,819812.9600000005,823434.9099999995,802791.0600000002,835002.9799999996,820985.1500000003,875570.8500000004,871852.0900000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1711465.949999999,1728525.290000001,1295645.0000000005,1239992.6300000006,1398511.6400000004,1468904.0800000005,1527629.6700000006,1588251.0199999996,1652084.1699999997,1711465.949999999,1728525.290000001,1831984.2400000012,1819949.3300000003,1920376.5999999996,1945442.5959283405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3300.01,2910.13,6905.329999999999,5955.050000000002,5795.9000000000015,4754.620000000001,4327.13,3892.24,3618.2699999999995,3300.01,2910.13,2734.7899999999995,2482.87,2191.63,1968.4169938770738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6547581.0399999935,6509025.200000001,5528986.5,5137217.870000003,5688346.300000005,5841714.080000001,5956738.710000005,6097707.800000002,6373575.000000001,6547581.0399999935,6509025.200000001,6871427.540000003,6813369.859999998,7139171.450000001,7151907.880000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.033680485637515536,0.03312764018096887,0.03298454924735008,0.029719200512616457,0.03270845477003932,0.03326234536495707,0.03273117439002259,0.03293347992374367,0.034075229053602205,0.033680485637515536,0.03312764018096887,0.034515369045826555,0.033187876448803555,0.034737467982259004,0.03837968358362513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.019383936486939885,0.019011069285916653,0.019266366408167444,0.01765780397819785,0.01944126740761383,0.01950212331074537,0.0191315107594832,0.019357035456256444,0.019422860246061036,0.019383936486939885,0.019011069285916653,0.019659868718827366,0.018788188936259928,0.019869412049812192,0.020160365259003943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.016041378248382414,0.015668572894744055,0.016084606878531037,0.014941212105647623,0.016300621614905315,0.016381768063439574,0.016114595931194898,0.01616917420167359,0.016210352587000668,0.016041378248382414,0.015668572894744055,0.016069206221908397,0.01546823145340783,0.016075798256122868,0.019426733189950165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0008084932269720269,0.0007779687384420999,0.0010235997258995547,0.0009062433994732797,0.0009576019438656926,0.0008567219590049205,0.0008400415570264502,0.0008170586892911828,0.0008245947060512568,0.0008084932269720269,0.0007779687384420999,0.0008030950777264337,0.0007859250701335576,0.00076476056404151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1892401.922407311,-1657326.4447664972,-1905930.4327776032,-1568124.938040195,-1326402.5173871852,-1328833.8305427902,-1509048.4544165318,-1709073.9078753146,-2022389.4717472962,-1892401.922407311,-1657326.4447664972,-1093126.1890396888,-2113871.1653029993,-2153644.2460645474,-2718332.94183335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-293979.32329165103,-268344.7919742376,-409403.94618227176,-369833.4515005195,-295875.58442197996,-307803.616893223,-303328.17712747026,-353515.0401933862,-346011.0189742074,-293979.32329165103,-268344.7919742376,-257203.61049373413,-347183.3842039912,-293209.30258745066,-398928.92334649677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-847381.6963904775,-897162.6329155236,-819533.8027143179,-665201.0249775539,-622251.8529619619,-665074.7848833564,-646178.2093863727,-772874.6455498531,-803574.8878177612,-847381.6963904775,-897162.6329155236,-960124.9890212143,-1053028.2188225053,-1217546.3687026582,-1295323.6291759016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-13692.99791056498,-21344.6392037291,-12027.488325805392,-42513.055481731804,-5745.075228871189,-24215.76768063529,-28828.22906962781,-24238.80638145051,-8024.621460740905,-13692.99791056498,-21344.6392037291,7013.181154633657,-18870.491670501764,-7829.137645351319,-12716.280644246961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3047455.940000004,-2844178.5088599874,-3146895.6699999985,-2645672.4700000007,-2250275.0299999984,-2325928.000000005,-2487383.0700000026,-2859702.4000000046,-3180000.000000006,-3047455.940000004,-2844178.5088599874,-2303441.6074000034,-3532953.259999998,-3672229.0550000076,-4425301.774999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.01589697486034264,-0.01381285393103601,-0.018572081038716406,-0.014987270473954852,-0.012655217899432743,-0.012555847237237133,-0.013733886138325012,-0.015299962445313125,-0.017678894515974736,-0.01589697486034264,-0.01381285393103601,-0.00897960448655306,-0.016823907441277885,-0.017233722687684895,-0.024079693478327308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.006920372772583731,-0.00635473124568318,-0.009373980514371189,-0.008353767440081188,-0.006721095975319998,-0.007080698754332672,-0.007005609441159645,-0.008277009658155785,-0.008197630426741728,-0.006920372772583731,-0.00635473124568318,-0.006055773856418122,-0.007945267972209614,-0.006653826415016122,-0.009224675721138149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.00794241352716109,-0.00813251515242648,-0.010173989819994993,-0.008015297322439593,-0.007252776247401586,-0.007417162916996669,-0.006816377652447954,-0.007868242880116208,-0.007884726757950485,-0.00794241352716109,-0.00813251515242648,-0.008421713522704441,-0.008949965774990173,-0.01019228717468174,-0.012934797763400617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.003354746218233854,-0.005706089430309613,-0.001782874063014294,-0.0064696645572683295,-0.0009492046458395915,-0.0043633728723140655,-0.005596529439597451,-0.005088208171133001,-0.0018287912108804084,-0.003354746218233854,-0.005706089430309613,0.002059482177604159,-0.005973245675204024,-0.0027319464150506673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
