Cohort,Segment,StartingGBV,PQ_Coll_Rate,PQ_Revenue_Rate,PQ_Principal_Rate,PQ_Interest_Rate,Actual_Coll_Rate,Actual_Revenue_Rate,Actual_Principal_Rate,Actual_Interest_Rate
202409,NON PRIME,2580823.24,-0.0909501335862087,0.0228671292520501,-0.0661108975829013,-0.0248392360033074,-0.09161828560211077,0.027845839200652513,-0.06348519011395498,-0.02813309548815579
202409,NRP-L,604094.49,-0.0383634443607309,0.0152260554162157,-0.0229957307833932,-0.0153677135773377,-0.04322482247112686,0.015693197756484124,-0.02744379006581793,-0.015781032405308933
202409,NRP-M,3038266.8,-0.0480675807112815,0.0153020232471114,-0.0323789479979797,-0.0156886327133017,-0.05051324320382392,0.016560694285028987,-0.034085933335104776,-0.01642730986871915
202409,NRP-S,1203094.8800000004,-0.0750190505435728,0.0168704099210221,-0.0566617934819267,-0.018357257061646,-0.06840193475993683,0.018397803651302145,-0.049508450075475254,-0.018893484684461587
202409,PRIME,10148.72,-0.0505720793508709,0.0100584740845944,-0.0401791422952742,-0.0103929370555967,-0.04782329334436277,0.010148580237369044,-0.03749020257419744,-0.010333090770165332
202410,NON PRIME,3386607.26,-0.0874083740576838,0.0232185452759837,-0.0615033757817206,-0.0259049982759632,-0.08993697813752745,0.029412752368949108,-0.06011432550881546,-0.02982265262871198
202410,NRP-L,463335.09,-0.0400531377264013,0.0162671837927962,-0.0233117986160492,-0.0167413391103521,-0.04839375149626081,0.015535583776723082,-0.032857501900096425,-0.015536249596164387
202410,NRP-M,2948745.809999999,-0.0468437845728229,0.014701083133057,-0.0312573633505877,-0.0155864212222351,-0.04307130251069836,0.016517697474153353,-0.026587658135405118,-0.01648364437529324
202410,NRP-S,1148959.1199999996,-0.0691701774395193,0.0170353264329407,-0.0507771216107999,-0.0183930558287193,-0.07078062468640987,0.01897102294965723,-0.051654389622305855,-0.019126235064104023
202411,NON PRIME,3628698.04,-0.090564174438338,0.0247877337506715,-0.0635913373920916,-0.0269728370462463,-0.0923556048542401,0.031521062044343,-0.06130893043164323,-0.031046674422596867
202411,NRP-L,587145.5900000001,-0.0444751454588976,0.0141298462448368,-0.0294358636079946,-0.015039281850903,-0.04102209740088089,0.015398012244720406,-0.02571736993778111,-0.01530472746309978
202411,NRP-M,3285945.9,-0.0512968674078575,0.0156001288306386,-0.034583067231373,-0.0167138001764845,-0.050924122848572756,0.017403343187757315,-0.033610992540125596,-0.017313130308447163
202411,NRP-S,1289490.97,-0.0697136984493018,0.018017105117717,-0.0506603991798444,-0.0190532992694573,-0.06955895265666416,0.01969648583840773,-0.04973763207843248,-0.01982132057823168
202412,NON PRIME,3930024.390000001,-0.090581958930677,0.0248657154375268,-0.0623962802483266,-0.0281856786823504,-0.0938638540336305,0.03324425947191085,-0.06108036114416837,-0.032783492889462126
202412,NRP-L,52967.3,-0.0191407087152286,0.0123839943284755,-0.008410335316075,-0.0107303733991535,-0.03633752008037073,0.015690984648919996,-0.021112346684629895,-0.01522517339574083
202412,NRP-M,2716445.1100000003,-0.0416533562611189,0.0151591788725611,-0.0257168261856155,-0.0159365300755033,-0.048484626879640745,0.01748163684204073,-0.03131959798396625,-0.017165028895674485
202412,NRP-S,1376252.91,-0.0716103764168797,0.0177565367675234,-0.0524204056260163,-0.0191899707908634,-0.07202499598907573,0.020391124397149074,-0.05151617360575762,-0.020508822383318102
202501,NON PRIME,4363554.399999999,-0.0878589835028548,0.0257099652366611,-0.0596482944220343,-0.0282106890808204,-0.09123135983514409,0.03407540222427903,-0.05775376221079706,-0.03347759762434703
202501,NRP-L,60436.42,-0.0323417536838393,0.0171340457193648,-0.014701118537952,-0.0176406351458872,-0.04228087553229525,0.01695725806032147,-0.02587668753021506,-0.016404188002080194
202501,NRP-M,4943312.740000001,-0.0451559281491492,0.0156697457214691,-0.0283491923740414,-0.0168067357751077,-0.04507660640715518,0.01754532153217611,-0.02786090361244217,-0.01721570279471301
202501,NRP-S,2185314.64,-0.0685430201354805,0.0178913780974928,-0.0488523344151629,-0.0196906857203175,-0.06885649739497893,0.020791136961084332,-0.048165693673104276,-0.020690803721874644
202502,NON PRIME,5958651.75,-0.0880275362115006,0.0272493175761933,-0.0592373249155959,-0.0287902112959047,-0.08949039294928417,0.03638579129841779,-0.053472244292183405,-0.03601814865710077
202502,NRP-L,127420.87,-0.0306852189977771,0.0154953262642354,-0.0126703039771972,-0.0180149150205798,-0.043285203267696304,0.01651812683561457,-0.0264514536245266,-0.0168337496431697
202502,NRP-M,5151310.039999996,-0.0493641282204574,0.0157584011264097,-0.0327093081072161,-0.0166548201132412,-0.04840084730660145,0.018354370905803503,-0.03007054695070847,-0.01833030035589298
202502,NRP-S,2387772.2100000004,-0.068846886438078,0.0178644610048735,-0.0508124511023973,-0.0180344353356807,-0.07014793316597906,0.021876607512553214,-0.04806872985434541,-0.022079203311633648
202503,NON PRIME,7538149.369999999,-0.0893903887849195,0.0347631873764749,-0.0544267000953923,-0.0349636886895272,-0.0892752284542104,0.037937289073614495,-0.05339657145820143,-0.035878656996008985
