Cohort,Segment,Actual_Coll_Rate,Actual_Revenue_Rate,Actual_Principal_Rate,Actual_Interest_Rate,OpeningGBV
202105,NRP-S,-0.09585865742038047,0.010250720009964917,-0.08518669123311395,-0.01067196618726645,37856.91333333334
202105,PRIME,-0.11103977404843969,0.007059553382879933,-0.10334674567262349,-0.007693028375816167,52991.381666666675
202106,NON PRIME,0.04428849982984682,0.0,0.021607721936488283,0.022680777893358522,6597.383333333334
202106,NRP-M,-0.12218515910814017,0.0103416875085735,-0.11036849145125216,-0.01181666765688795,84080.105
202106,NRP-S,-0.07784087062924984,0.01017341123243715,-0.0678918150288991,-0.009949055600350682,46113.65166666667
202106,PRIME,-0.09154360444533514,0.006295826674401033,-0.08502738131758562,-0.006516223127749466,77238.355
202107,NON PRIME,-0.0035576822220667673,0.0,-0.0034291162481483,-0.00012856597391849452,26079.850000000002
202107,NRP-M,-0.08326257917257081,0.009476079075188317,-0.07357776729404021,-0.00968481187853055,134140.33
202107,NRP-S,-0.09767286089918441,0.012133670531521682,-0.08533374160634077,-0.012339119292843566,61034.738333333335
202107,PRIME,-0.10897999364424159,0.008462677771593733,-0.09993445596210727,-0.009045537682134232,44899.44666666666
202108,NON PRIME,0.02878319505187253,0.0,0.028922091182957587,-0.00013889613108505005,55766.863333333335
202108,NRP-M,-0.08261239412044259,0.011151570502383084,-0.07229324708274848,-0.010319147037694083,235848.65666666665
202108,NRP-S,-0.09814409698143077,0.012069857605636532,-0.0861777950787494,-0.011966301902681333,152323.85
202108,PRIME,-0.11100469672092612,0.007179947851469317,-0.10334032231534866,-0.0076643744055774335,163678.51333333334
202109,NON PRIME,-0.005561195105608984,0.0,-0.004544827319279317,-0.0010163677863295835,40948.77333333334
202109,NRP-M,-0.08682724653437983,0.012207762214489317,-0.07498665913136417,-0.011840587403015567,422872.9016666667
202109,NRP-S,-0.10885072064922773,0.012851629890782484,-0.09500892065028632,-0.01384179999894135,208703.66333333333
202109,PRIME,-0.10408200296669166,0.0076964494708867,-0.09653119367279743,-0.0075508092938941845,123031.425
202110,NON PRIME,-0.004619448808523417,0.0,-0.0025861367130489833,-0.0020333120954744333,41237.64
202110,NRP-M,-0.08461781489915686,0.011084331067795898,-0.07357252293848128,-0.011045291960675501,325045.24833333335
202110,NRP-S,-0.08546180107944619,0.012032104428892765,-0.07410467150533412,-0.011357129574112017,238423.11166666666
202110,PRIME,-0.07397133023787227,0.006113990305705651,-0.0683022243504765,-0.0056691058873957504,148608.07
202111,NON PRIME,-0.004120920010977716,0.0,-0.003277309862786433,-0.0008436101481912499,32242.096666666665
202111,NRP-M,-0.08514073303189555,0.011102476678854818,-0.07501438072231846,-0.010126352309577034,70396.39666666667
202111,NRP-S,-0.06955225837965832,0.01134907838563195,-0.05818630133230063,-0.011365957047357633,236389.245
202111,PRIME,-0.13438987774746258,0.00883180281981675,-0.12491052512630725,-0.009479352621155283,17785.283333333333
202112,NON PRIME,-0.0068060024848925,0.0,-0.003851414324912383,-0.0029545881599801,55186.113333333335
202112,NRP-M,-0.0928677721560895,0.013132732990813684,-0.0790821291219278,-0.013785643034161667,207678.86166666666
202112,NRP-S,-0.07423967343227897,0.010729633208293734,-0.06387448051014838,-0.010365192922130534,131314.04
202112,PRIME,-0.07793205461801346,0.0074059902511945,-0.07086636444581317,-0.007065690172200284,95444.08166666667
202201,NON PRIME,-0.0080061015287403,0.0,-0.015904773432801483,0.0078986719040612,42494.415
202201,NRP-M,-0.06979585508215444,0.011539997783954451,-0.05946650262271493,-0.01032935245943945,399123.95999999996
202201,NRP-S,-0.07121432905348764,0.012881932966366333,-0.05857859346483137,-0.012635735588656183,206260.10666666666
202201,PRIME,-0.09330333695177688,0.007929695285236116,-0.08489882623449845,-0.0084045107172784,254145.99
202202,NON PRIME,0.001706243013389817,0.0,0.002264416805594933,-0.000558173792205127,74059.24166666667
202202,NRP-L,-0.0364372307914064,0.012498024563015166,-0.02657236050516765,-0.009864870286238699,14315.388333333334
202202,NRP-M,-0.07539304172110037,0.01258562230381545,-0.06297112160337232,-0.01242192011772795,347305.87166666664
202202,NRP-S,-0.06925357558422597,0.011900188315032333,-0.0575625930845537,-0.01169098249967225,180602.69999999998
202202,PRIME,-0.0694839450847396,0.007180319042957634,-0.06279971486010993,-0.0066842302246296,160636.94666666668
202203,NON PRIME,-0.011981126001350283,0.0,-0.009398002961781433,-0.0025831230395688166,72591.40833333334
202203,NRP-L,-0.08133198205045332,0.0098170016317987,-0.07070720598218165,-0.010624776068271634,28607.516666666666
202203,NRP-M,-0.06564787007320973,0.011520545848651751,-0.054232882632922606,-0.0114149874402871,216728.73166666666
202203,NRP-S,-0.07470374076527159,0.012633606252467533,-0.061895296556843095,-0.012808444208428466,138880.28333333333
202203,PRIME,-0.06712242845878909,0.007038354988425334,-0.060521565124973364,-0.006600863333815717,346784.20166666666
202204,NON PRIME,-0.05347797003076082,0.0006778940767988333,-0.04952844979064986,-0.0039495202401109005,57386.926666666666
202204,NRP-L,-0.06775593397771466,0.0107165013783615,-0.0568245067717125,-0.010931427206002117,83481.66166666667
202204,NRP-M,-0.07344849164031321,0.011035800733887066,-0.0626920929203516,-0.010756398719961584,270990.8466666667
202204,NRP-S,-0.07458117891101425,0.009893131370667267,-0.06488796785951469,-0.009693211051499567,231913.63166666668
202204,PRIME,-0.07432814064756742,0.007467239856852717,-0.06703876914765626,-0.007289371499911116,648241.5883333334
202205,NON PRIME,-0.07313817862725618,0.0019810434276869167,-0.06772214618588474,-0.0054160324413713825,104397.95
202205,NRP-L,-0.0752495144983787,0.009281444319603366,-0.0668676120688665,-0.00838190242951215,76563.79166666667
202205,NRP-M,-0.06789387361429504,0.010759451904533283,-0.05727415702528227,-0.010619716589012717,312778.23833333334
202205,NRP-S,-0.09183181768552923,0.00974074658811805,-0.08190917858503116,-0.009922639100498017,369338.39166666666
202205,PRIME,-0.07472413653489081,0.007448550166717467,-0.06726548867831937,-0.007458647856571417,1024089.96
202206,NON PRIME,-0.09198346727670387,0.0038423587920415666,-0.08546618909019538,-0.006517278186508434,79312.11833333333
202206,NRP-L,-0.09619157335236161,0.012194733196372,-0.08337190880501671,-0.012819664547344884,31705.62166666667
202206,NRP-M,-0.07772415897223607,0.011280375300558115,-0.06626268199334241,-0.011461476978893582,125813.13333333335
202206,NRP-S,-0.09532661462489876,0.009363184609805383,-0.08561034058976486,-0.00971627403513385,248971.77666666664
202206,PRIME,-0.07599636920897933,0.007849864923707466,-0.0681198139287416,-0.00787655528023765,614546.0516666666
202207,NON PRIME,-0.1137892283131665,0.006837252743387979,-0.10418327642966312,-0.009605951883503315,115043.82166666666
202207,NRP-L,-0.0667403679035402,0.013311556759522317,-0.053060904321726686,-0.01367946358181345,42059.055
202207,NRP-M,-0.06907522042312288,0.011190969769304634,-0.05801236863191403,-0.011062851791208817,212333.81333333335
202207,NRP-S,-0.10566420082304935,0.01123677472424135,-0.0936227672072183,-0.012041433615830982,338175.3333333333
202207,PRIME,-0.07410409858105414,0.008181424837120433,-0.06568310351064831,-0.0084209950704058,601992.5533333333
202208,NON PRIME,-0.1278285362041105,0.009930363051284183,-0.11738742272506507,-0.0104411134790454,218122.13
202208,NRP-L,-0.06441586747994936,0.01319355712058115,-0.05117760578267324,-0.0132382616972761,96785.53499999999
202208,NRP-M,-0.07427451136310553,0.01132342581480305,-0.06210855979991098,-0.012165951563194484,262341.7183333333
202208,NRP-S,-0.11291998844755953,0.011592221087347218,-0.10023686163671057,-0.0126831268108489,417782.7166666666
202208,PRIME,-0.054941458997964064,0.006737512807319618,-0.04792326868365596,-0.00701819031430805,280600.04
202209,NON PRIME,-0.1132846595864817,0.009617710821138799,-0.09907196763466741,-0.01421269195181425,145065.12
202209,NRP-L,-0.11103670194486376,0.012180695253738933,-0.09786752454204345,-0.013169177402820252,19143.936666666665
202209,NRP-M,-0.09389999610681832,0.012832965827004966,-0.0801714809556101,-0.013728515151208133,121174.165
202209,NRP-S,-0.08736887984799792,0.010227505126800101,-0.07624894740509779,-0.011119932442900117,274283.825
202209,PRIME,-0.07914614054752162,0.008853844443123501,-0.06978685161114345,-0.009359288936378149,154180.57333333333
202210,NON PRIME,-0.13463969356908215,0.014101940267474617,-0.11859915171350509,-0.016040541855577035,149888.31333333332
202210,NRP-L,-0.0884958951605868,0.013584902169126284,-0.07434233448017612,-0.014153560680410633,56450.76
202210,NRP-M,-0.07231505130738049,0.009460469027024167,-0.06251737182142776,-0.00979767948595265,82895.57666666668
202210,NRP-S,-0.10499958689785192,0.0104739788953859,-0.09352915724268729,-0.0114704296551646,125218.885
202211,NON PRIME,-0.11959797957834022,0.01666363600954542,-0.10207502303878685,-0.017522956539553314,195657.91166666665
202211,NRP-S,-0.1750022836239605,0.012805637720379017,-0.1600349194617793,-0.014967364162181083,53406.79666666667
202212,NON PRIME,-0.10415739645421755,0.014908944554976699,-0.08608969845177676,-0.01806769800244075,221786.70166666666
202212,NRP-S,-0.14847218381412827,0.012265459189396801,-0.13376341862133423,-0.014708765192793951,47545.420000000006
202301,NON PRIME,-0.1002350260062753,0.016368916751642298,-0.08190569568038689,-0.018329330325888384,257480.49666666667
202301,NRP-S,-0.15401815104861147,0.015437803741580733,-0.1380311318344312,-0.015987019214180234,44532.708333333336
202302,NON PRIME,-0.09967426068072065,0.01732334401549405,-0.08226776692376973,-0.0174064937569509,229565.53833333333
202302,NRP-S,-0.12047780112332296,0.013050843424810882,-0.10512162024233429,-0.015356180880988649,27412.308333333334
202303,NON PRIME,-0.09780971857499661,0.017172054308081015,-0.07950984017426622,-0.01829987840073035,233117.81166666668
202303,NRP-S,-0.11543307013203352,0.013284389158151015,-0.10149037040529692,-0.013942699726736533,41808.065
202304,NON PRIME,-0.10325715002562214,0.018798664871499015,-0.08320667421136717,-0.020050475814254932,243284.65
202304,NRP-S,-0.12539768957639638,0.014290092690547498,-0.10935605876882289,-0.01604163080757348,31165.36333333333
202305,NON PRIME,-0.09890209276307022,0.01810271907725185,-0.07978314114776995,-0.01911895161530025,514711.50666666665
202305,NRP-S,-0.11219827209835954,0.01590796941306517,-0.09530237897176853,-0.01689589312659095,113361.40499999998
202306,NON PRIME,-0.10168824839433571,0.017843610287840966,-0.08184553597404778,-0.0198427124202879,718534.7566666667
202306,NRP-M,-0.047146428965854165,0.01462621785181145,-0.03198083372628812,-0.015165595239566032,5687.768333333333
202306,NRP-S,-0.10071564807548906,0.016333970393938916,-0.0841329552089722,-0.01658269286651678,189651.64
202307,NON PRIME,-0.1043108429826668,0.018887258264824302,-0.08361627560330992,-0.020694567379356835,550628.0083333333
202307,NRP-M,-0.05720190311380158,0.015001313101037817,-0.041256215764537564,-0.015945687349264,252249.245
202307,NRP-S,-0.0992161973366582,0.01669097344079445,-0.0825599399468788,-0.016656257389779317,233603.21833333335
202308,NON PRIME,-0.10584151301894858,0.019287734179306983,-0.08454882373432453,-0.02129268928462402,664185.1066666667
202308,NRP-L,-0.03659739203312858,0.014074136565967399,-0.022363463634727482,-0.014233928398401083,204725.35499999998
202308,NRP-M,-0.048628439531042456,0.0138437635712983,-0.03411259468140578,-0.014515844849636599,460723.74333333335
202308,NRP-S,-0.0997603262463518,0.015759090348312386,-0.08320275684332444,-0.01655756940302727,325421.14
202309,NON PRIME,-0.11287048070367738,0.02035636504670815,-0.09083864398287865,-0.02203183672079867,815752.5066666667
202309,NRP-L,-0.05657111459378808,0.013542434366286632,-0.04259269613490441,-0.013978418458883667,376102.37833333336
202309,NRP-M,-0.057407974213444964,0.014779054867342668,-0.04226058275721989,-0.015147391456225033,1004500.6866666666
202309,NRP-S,-0.09239291868945919,0.0164746631086545,-0.075185681084134,-0.01720723760532515,460035.00333333336
202310,NON PRIME,-0.10390969008270119,0.019417257513782,-0.08280168436654238,-0.021108005716158784,1098302.0683333334
202310,NRP-L,-0.042805446526417545,0.013969010895134684,-0.028853323485883098,-0.013952123040534418,175106.775
202310,NRP-M,-0.053720462137647106,0.014378424132054,-0.0389769203733754,-0.014743541764271685,980459.4866666667
202310,NRP-S,-0.09335195641306725,0.015816933730672052,-0.07654215626555683,-0.016809800147510365,556396.3816666667
202311,NON PRIME,-0.0997839291671398,0.020788429132130432,-0.0773886145220813,-0.02239531464505845,1367680.1933333334
202311,NRP-L,-0.03389887514425804,0.013132797183486934,-0.021150699941078214,-0.0127481752031798,375807.8283333333
202311,NRP-M,-0.04846894520554205,0.014024347055491068,-0.03417584834922741,-0.014293096856314634,1101384.075
202311,NRP-S,-0.08063178822937507,0.01576898439347265,-0.06392639096783603,-0.016705397261539,620124.3250000001
202312,NON PRIME,-0.09831821934280971,0.021721487834343998,-0.07467023247620723,-0.023647986866602452,1271523.1016666668
202312,NRP-L,-0.04278232184241867,0.012560614898147965,-0.030007651419091248,-0.012774670423327417,674442.2583333333
202312,NRP-M,-0.053811194890847146,0.014199911984415949,-0.039276271426171204,-0.014534923464675933,1116048.7716666667
202312,NRP-S,-0.07678028546632704,0.01635630931412925,-0.05962414059206563,-0.01715614487426133,702979.7399999999
202401,NON PRIME,-0.08681639045834787,0.022884116336866083,-0.06243992857791083,-0.024376461880436986,1615863.8166666667
202401,NRP-L,-0.04338538202328678,0.014591505786279116,-0.02858439164183425,-0.014800990381452467,922010.6383333333
202401,NRP-M,-0.044996831790491416,0.0141005088017406,-0.030712863093711063,-0.0142839686967803,2000078.0116666667
202401,NRP-S,-0.06938728087309178,0.016560399211706284,-0.052227974774772784,-0.01715930609831895,1129958.675
202402,NON PRIME,-0.08824348959152817,0.02352510982162412,-0.06337653024837567,-0.024866959343152435,1684038.675
202402,NRP-L,-0.05427122830418637,0.012860999604498033,-0.04118296978269035,-0.013088258521495933,822330.0366666666
202402,NRP-M,-0.04998652116788028,0.01483815563405075,-0.034883906892370586,-0.0151026142755097,1825197.4083333332
202402,NRP-S,-0.07155543172721728,0.016762954522444366,-0.054092148436587516,-0.017463283290629683,1076599.91
202403,NON PRIME,-0.08908989921524042,0.023331875272769934,-0.0646154850928879,-0.024474414122352465,2185770.8133333335
202403,NRP-L,-0.045590035352781604,0.013254840366285233,-0.0320018104546919,-0.013588224898089618,1172068.6183333334
202403,NRP-M,-0.04896736692793082,0.014567499572946667,-0.03410105470034353,-0.014866312227587233,2713797.4533333336
202403,NRP-S,-0.06891673371805353,0.01735886023885255,-0.05138653333818043,-0.017530200379873,1598051.8099999998
202404,NON PRIME,-0.09248629283125676,0.0235879974062442,-0.06728199313447937,-0.025204299696777354,2356696.93
202404,NRP-L,-0.045138838632119614,0.0143821224428764,-0.03034243200865085,-0.0147964066234687,1355362.8633333333
202404,NRP-M,-0.050766422136575784,0.015140310770964416,-0.035622520132979216,-0.015143902003596518,2649936.5866666664
202404,NRP-S,-0.06465327114155804,0.016788541033804835,-0.04727727327116063,-0.017375997870397335,1579600.655
202405,NON PRIME,-0.08549036127018687,0.02385146188704595,-0.06044640252043881,-0.025043958749748,2857757.4450000003
202405,NRP-L,-0.04274274792171851,0.013867426668041067,-0.028718424202059886,-0.014024323719658583,1334027.615
202405,NRP-M,-0.044616647321140034,0.015555114277139633,-0.028902346035816918,-0.015714301285323085,2469790.4033333333
202405,NRP-S,-0.06951964901269274,0.017440475017394833,-0.0515321865456503,-0.017987462467042366,1387908.9766666666
202405,PRIME,-0.026150629772905415,0.01016740205841535,-0.01580103174865885,-0.010349598024246516,5112.2300000000005
202406,NON PRIME,-0.08577680633612468,0.025540331179399915,-0.059210038495261914,-0.02656676784086273,3548846.185
202406,NRP-L,-0.0418786825435063,0.01402853567023875,-0.027551524955437768,-0.014327157588068483,1077594.9766666668
202406,NRP-M,-0.05021338658732916,0.015559002967530584,-0.03517297563379937,-0.015040410953529733,2420312.071666667
