CalendarMonth,Segment,Cohort,MOB,OpeningGBV,Coll_Principal,Coll_Interest,InterestRevenue,WO_DebtSold,WO_Other,ClosingGBV_Reported,Provision_Balance,Coll_Principal_Rate,Coll_Interest_Rate,InterestRevenue_Rate_Annual,WO_DebtSold_Rate,WO_Other_Rate,Coverage_Ratio,GBV_Runoff_Rate,DataType
2020-05-31,NRP-S,202001,2,2626137.47,-114432.25,-34231.31,40154.315114,0.0,0.0,2517587.7,0.0,-0.04357435637213615,-0.01303485076125889,0.1800304376126819,0.0,0.0,0.0,0.04133438224008891,Actual
2020-05-31,NRP-S,202001,3,3667923.830000001,-150438.62,-49729.7,56177.815455,0.0,0.0,3524240.78,0.0,-0.04101465214996026,-0.01355799692274417,0.1803332083623835,0.0,0.0,0.0,0.03917285545158124,Actual
2020-05-31,NRP-S,202001,4,5049620.23,-225137.45,-65974.27,78688.80926,0.0,0.0,4837857.85,0.0,-0.04458502614958036,-0.0130651944096794,0.1834786039581742,0.0,0.0,0.0,0.04193629824712596,Actual
2020-06-30,NON PRIME,201912,6,112283069.05,-5970301.87,-3334836.96,3320628.549226,8373865.779415,15529.16,97241229.0,0.0,-0.05317187996830943,-0.02970026548272373,0.3598136479887185,0.0745781697121771,0.0001383036652933384,0.0,0.1339635634941705,Actual
2020-06-30,NON PRIME,202001,0,26550.0,-65357.23,-685.0699999999999,26000.898303,0.0,0.0,1795366.37,0.0,-2.461665913370998,-0.0258030131826742,11.9150381426177,0.0,0.0,0.0,-66.62208549905837,Actual
2020-06-30,NON PRIME,202001,1,180566.59,-9758.34,-8005.36,7394.355874,0.0,0.0,170226.15,0.0,-0.0540428880004878,-0.04433466899939795,0.4982353775062522,0.0,0.0,0.0,0.05726662944678748,Actual
2020-06-30,NON PRIME,202001,3,7222750.449999999,-406800.12,-296110.42,276923.816943,0.0,814.01,6799378.52,0.0,-0.05632205111004493,-0.04099690582553632,0.4664760046924368,0.0,0.0001127008340707659,0.0,0.05861644160778111,Actual
2020-06-30,NON PRIME,202001,4,5942150.13,-333874.93,-233943.06,233599.724795,0.0,0.0,5608934.22,0.0,-0.056187562194764,-0.03937010255242407,0.4782999289527936,0.0,0.0,0.0,0.05607665621198301,Actual
2020-06-30,NON PRIME,202001,5,9104084.18,-511527.13,-351825.62,357154.072402,0.0,131.15,8588612.18,0.0,-0.05618655538398153,-0.0386448118277395,0.4772994692979285,0.0,1.44056225104017e-05,0.0,0.05661986310851533,Actual
2020-06-30,NRP-M,202001,3,206382.27,-13865.36,-4326.36,2285.233296,0.0,0.0,190560.1,0.0,-0.06718290287242214,-0.02096284724458162,0.1347192845974608,0.0,0.0,0.0,0.07666438594749435,Actual
2020-06-30,NRP-S,201912,6,34740443.48,-2114696.09,-574885.22,522976.928549,281056.444082,627.52,32268176.44,0.0,-0.06087130382251528,-0.01654801039977973,0.1831550011063023,0.008090180087764385,1.806309698842106e-05,0.0,0.07116394588984665,Actual
2020-06-30,NRP-S,202001,3,2517587.7,-133366.04,-42778.92,37444.463495,0.0,0.0,2379558.44,0.0,-0.05297374149071351,-0.01699202772558827,0.1809566776386115,0.0,0.0,0.0,0.05482599871297442,Actual
2020-06-30,NRP-S,202001,4,3524240.78,-186130.55,-55935.96999999999,51794.840901,0.0,0.0,3334623.43,0.0,-0.05281436814881871,-0.01587177877216437,0.1788103037317161,0.0,0.0,0.0,0.05380374436277865,Actual
2020-06-30,NRP-S,202001,5,4837857.85,-255900.57,-79674.57,72206.69982600001,0.0,0.0,4574412.989999999,0.0,-0.05289542974066507,-0.01646897707008899,0.1815917034195207,0.0,0.0,0.0,0.05445485753575838,Actual
2020-07-31,NON PRIME,201912,7,97241229.0,-4761811.39,-2620854.84,3089501.005882,0.0,66732.68,91466248.21,0.0,-0.04896905807309367,-0.02695209498020639,0.3740839475732181,0.0,0.0006862591175189692,0.0,0.05938819212167718,Actual
2020-07-31,NON PRIME,202001,0,127673.61,-149485.33,-4017.58,123235.656397,0.0,0.0,6486583.41,0.0,-1.170839690363576,-0.03146758362985115,11.36492083587835,0.0,0.0,0.0,-49.80598418106921,Actual
2020-07-31,NON PRIME,202001,1,1795359.05,-100048.37,-77120.14,75558.097537,0.0,55.89,1695530.35,0.0,-0.05572610670829324,-0.04295527404393009,0.4955196368929926,0.0,3.113026333089194e-05,0.0,0.05560375235248914,Actual
2020-07-31,NON PRIME,202001,2,170226.15,-12757.67,-7241.65,7226.389845000001,0.0,0.0,157593.33,0.0,-0.07494541819808531,-0.04254134867057734,0.4998345594441808,0.0,0.0,0.0,0.07421198211908105,Actual
2020-07-31,NON PRIME,202001,4,6799378.52,-356627.01,-237033.68,266722.388056,0.0,158.15,6472250.98,0.0,-0.0524499421455948,-0.03486108021531355,0.4618717742249411,0.0,2.325947872071107e-05,0.0,0.0481113882743507,Actual
2020-07-31,NON PRIME,202001,5,5608934.22,-297056.13,-203815.64,224577.701255,0.0,0.0,5327974.52,0.0,-0.0529612433215521,-0.03633767699989179,0.4714302606366144,0.0,0.0,0.0,0.05009145926478707,Actual
2020-07-31,NON PRIME,202001,6,8588612.18,-461051.46,-296469.13,339846.279507,0.0,307.18,7975402.050000001,0.0,-0.05368171834253203,-0.03451886332583246,0.4658978409727981,0.0,3.576596469396061e-05,0.0,0.07139804629064052,Actual
2020-07-31,NRP-M,202001,4,190560.1,-3034.48,-2304.05,2307.023852,0.0,0.0,187528.56,0.0,-0.01592400507766316,-0.01209093614035677,0.1425447685753395,0.0,0.0,0.0,0.01590857687417255,Actual
2020-07-31,NRP-S,201912,7,32268176.44,-1734020.47,-485813.77,505173.184967,0.0,3765.27,30529290.07,0.0,-0.05373778940450098,-0.01505550742550731,0.184330430519259,0.0,0.0001166867922332459,0.0,0.05388858503464911,Actual
2020-07-31,NRP-S,202001,4,2379558.44,-125716.97,-35806.37,36019.21088,0.0,0.0,2253937.82,0.0,-0.05283205820320177,-0.01504748502835677,0.178225150192693,0.0,0.0,0.0,0.05279156749770754,Actual
