Cohort,Segment,ForecastMonth,OpeningGBV,Coll_Principal,Coll_Interest,InterestRevenue,ClosingGBV,Principal_Rate,Interest_Rate,Revenue_Rate
202412,NRP-L,2026-12-01,31546.93253009447,-666.02977641198,-480.3075178744243,390.6770335334891,30400.595235808065,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
202412,NRP-L,2027-01-01,30400.595235808065,-641.8279060374849,-462.85433379890947,376.4807989825264,29295.91299597167,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
202412,NRP-L,2027-02-01,29295.91299597167,-618.5054716137056,-446.035355150205,362.80042038962483,28231.37216920776,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
202412,NRP-L,2027-03-01,28231.37216920776,-596.0305166191235,-429.8275364758792,349.61715282854993,27205.514116112758,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
202412,NRP-L,2027-04-01,27205.514116112758,-574.3722457529624,-414.20866973809075,336.91293251720055,26216.933200621705,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
202412,NRP-L,2027-05-01,26216.933200621705,-553.5009827393067,-399.15735388401924,324.6703520665202,25264.274863998377,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
202412,NRP-L,2027-06-01,25264.274863998377,-533.3881296645121,-384.6529655220311,312.872636628802,24346.233768811835,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
202412,NRP-L,2027-07-01,24346.233768811835,-514.0061277921967,-370.6756306634002,301.50362091270443,23461.552010356238,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
202412,NRP-L,2027-08-01,23461.552010356238,-495.3284198021142,-357.20619749086484,290.5477270334846,22609.01739306326,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
202412,NRP-L,2027-09-01,22609.01739306326,-477.3294134011766,-344.22621011670776,279.98994316809933,21787.461769545374,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
202412,NRP-L,2027-10-01,21787.461769545374,-459.98444625675984,-331.717883294402,269.81580298592667,20995.759439994214,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
202412,NRP-L,2027-11-01,20995.759439994214,-443.2697522042467,-319.66407804917367,260.01136582692425,20232.825609740794,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
202412,NRP-L,2027-12-01,20232.825609740794,-427.162428682504,-308.04827819408865,250.56319760006383,19497.614902864203,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
202412,NRP-M,2025-10-01,2716445.1100000003,-85077.96879071085,-46627.85880666343,41179.07731998392,2584739.282402626,-0.0313195979839662,-0.0171650288956744,0.0151591788725611
202412,NRP-M,2025-11-01,2584739.282402626,-80952.99521821551,-44367.12447022579,39182.52512087663,2459419.1627141843,-0.0313195979839662,-0.0171650288956744,0.0151591788725611
202412,NRP-M,2025-12-01,2459419.1627141843,-77028.019450271,-42216.00099456432,37282.77501018877,2340175.1422693487,-0.0313195979839662,-0.0171650288956744,0.0151591788725611
202412,NRP-M,2026-01-01,2340175.1422693487,-73293.3446679469,-40169.173937992324,35475.13357478218,2226712.6236634096,-0.0313195979839662,-0.0171650288956744,0.0151591788725611
