ForecastMonth,Segment,Cohort,MOB,OpeningGBV,Coll_Principal,Coll_Interest,Coll_Rate,Coll_P_Approach,Coll_I_Approach,ScenB_Revenue,ScenB_Rev_Rate,ScenA_Revenue,ScenA_Rev_Rate
2025-10-31,NON PRIME,202411,11,3628698.04,-251880.36,-84878.59,-0.09280434643164741,DonorCohort:202404,DonorCohort:202404,89667.7,0.02471070863752554,89582.89711131228,0.0246873385781398
2025-10-31,NON PRIME,202411,11,3628698.04,-251880.36,-84878.59,-0.09280434643164741,DonorCohort:202404,DonorCohort:202404,89667.7,0.02471070863752554,91042.0326955917,0.0250894485272717
2025-10-31,NON PRIME,202412,10,3930024.39,-292231.31,-113762.89,-0.10330577108708477,DonorCohort:202404,DonorCohort:202404,107202.06,0.027277708574220832,97722.86814427984,0.0248657154375268
2025-10-31,NON PRIME,202412,10,3930024.39,-292231.31,-113762.89,-0.10330577108708477,DonorCohort:202404,DonorCohort:202404,107202.06,0.027277708574220832,97345.20920738217,0.0247696196123053
2025-10-31,NON PRIME,202412,10,3930024.39,-292231.31,-113762.89,-0.10330577108708477,DonorCohort:202404,DonorCohort:202404,107202.06,0.027277708574220832,100454.8254768493,0.0255608656608997
2025-10-31,NON PRIME,202412,10,3930024.39,-292231.31,-113762.89,-0.10330577108708477,DonorCohort:202404,DonorCohort:202404,107202.06,0.027277708574220832,102064.97008509179,0.0259705691254226
2025-10-31,NON PRIME,202501,9,4363554.4,-287417.26,-131847.65,-0.09608334664052773,DonorCohort:202404,DonorCohort:202404,122598.7,0.028096063154386248,112186.8319322796,0.0257099652366611
2025-10-31,NON PRIME,202501,9,4363554.4,-287417.26,-131847.65,-0.09608334664052773,DonorCohort:202404,DonorCohort:202404,122598.7,0.028096063154386248,114287.9179459613,0.0261914731591203
2025-10-31,NON PRIME,202501,9,4363554.4,-287417.26,-131847.65,-0.09608334664052773,DonorCohort:202404,DonorCohort:202404,122598.7,0.028096063154386248,117055.23151354615,0.0268256610971886
2025-10-31,NON PRIME,202501,9,4363554.4,-287417.26,-131847.65,-0.09608334664052773,DonorCohort:202404,DonorCohort:202404,122598.7,0.028096063154386248,118372.76802545099,0.0271276022192942
2025-10-31,NON PRIME,202502,8,5958651.75,-354251.6,-165645.15,-0.08725073587326193,DonorCohort:202404,DonorCohort:202404,160121.36,0.02687207890610489,162369.19386168997,0.0272493175761933
2025-10-31,NON PRIME,202502,8,5958651.75,-354251.6,-165645.15,-0.08725073587326193,DonorCohort:202404,DonorCohort:202404,160121.36,0.02687207890610489,164476.997201856,0.0276030558761646
2025-10-31,NON PRIME,202502,8,5958651.75,-354251.6,-165645.15,-0.08725073587326193,DonorCohort:202404,DonorCohort:202404,160121.36,0.02687207890610489,168417.36616410266,0.0282643412016993
2025-10-31,NON PRIME,202502,8,5958651.75,-354251.6,-165645.15,-0.08725073587326193,DonorCohort:202404,DonorCohort:202404,160121.36,0.02687207890610489,170189.47359050566,0.0285617419394422
2025-10-31,NON PRIME,202503,7,7538149.37,-426079.49,-217066.3,-0.08531879091698073,DonorCohort:202404,DonorCohort:202404,211559.62,0.028065193407012575,262050.09902116624,0.0347631873764749
2025-10-31,NON PRIME,202503,7,7538149.37,-426079.49,-217066.3,-0.08531879091698073,DonorCohort:202404,DonorCohort:202404,211559.62,0.028065193407012575,265028.2819733081,0.0351582688223261
2025-10-31,NON PRIME,202503,7,7538149.37,-426079.49,-217066.3,-0.08531879091698073,DonorCohort:202404,DonorCohort:202404,211559.62,0.028065193407012575,265887.9590481461,0.0352723123405216
2025-10-31,NON PRIME,202503,7,7538149.37,-426079.49,-217066.3,-0.08531879091698073,DonorCohort:202404,DonorCohort:202404,211559.62,0.028065193407012575,266237.87092195626,0.0353187311439487
2025-10-31,NON PRIME,202504,6,9246422.14,-578885.2,-278270.78,-0.0927013678395609,DonorCohort:202404,DonorCohort:202404,284188.1,0.030734925974296903,329486.0011064393,0.0356338912627711
2025-10-31,NON PRIME,202504,6,9246422.14,-578885.2,-278270.78,-0.0927013678395609,DonorCohort:202404,DonorCohort:202404,284188.1,0.030734925974296903,336065.29970292485,0.0363454420114681
2025-10-31,NON PRIME,202504,6,9246422.14,-578885.2,-278270.78,-0.0927013678395609,DonorCohort:202404,DonorCohort:202404,284188.1,0.030734925974296903,336571.3995949622,0.0364001766844448
2025-10-31,NON PRIME,202504,6,9246422.14,-578885.2,-278270.78,-0.0927013678395609,DonorCohort:202404,DonorCohort:202404,284188.1,0.030734925974296903,336757.85744992405,0.0364203420902784
2025-10-31,NON PRIME,202505,5,9953254.19,-559819.07,-345011.28,-0.09090799177108126,DonorCohort:202404,DonorCohort:202404,314538.15,0.03160153895356309,341884.20306679746,0.0343489874306925
2025-10-31,NON PRIME,202505,5,9953254.19,-559819.07,-345011.28,-0.09090799177108126,DonorCohort:202404,DonorCohort:202404,314538.15,0.03160153895356309,367600.28746274905,0.0369326735201916
2025-10-31,NON PRIME,202506,4,10973736.76,-565318.75,-369079.26,-0.08514857157918558,DonorCohort:202404,DonorCohort:202404,360397.72,0.032841841196125064,389795.6070423676,0.035520772510527
2025-10-31,NON PRIME,202506,4,10973736.76,-565318.75,-369079.26,-0.08514857157918558,DonorCohort:202404,DonorCohort:202404,360397.72,0.032841841196125064,420792.4960848414,0.0383454155396417
2025-10-31,NON PRIME,202507,3,13508660.83,-693053.23,-472238.75,-0.08626258329116698,DonorCohort:202404,DonorCohort:202404,462603.32,0.03424494299040003,510402.2350268329,0.0377833333333333
2025-10-31,NON PRIME,202508,2,10582346.66,-486191.08,-440251.2,-0.08754601505371588,DonorCohort:202404,DonorCohort:202404,376350.14,0.03556395874107568,401423.6833026663,0.0379333333333333
2025-10-31,NON PRIME,202509,1,11481431.49,-620697.47,-277255.36,-0.07820913540111189,DonorCohort:202404,DonorCohort:202404,473822.78,0.041268615364964394,435528.9678539996,0.0379333333333333
2025-10-31,NRP-L,202301,23,1160678.27,-36913.86,-12981.04,-0.042987709246938864,CohortTrend,CohortAvg,12101.7,0.010426403520072795,12008.559083856813,0.0103461565484954
2025-10-31,NRP-L,202301,23,1160678.27,-36913.86,-12981.04,-0.042987709246938864,CohortTrend,CohortAvg,12101.7,0.010426403520072795,9672.318916666629,0.0083333333333333
2025-10-31,NRP-L,202404,18,312423.2,-13937.54,-4583.71,-0.05928256928422729,CohortTrend,CohortAvg,4045.09,0.012947469970219882,4071.5191508889425,0.0130320640429038
2025-10-31,NRP-L,202404,18,312423.2,-13937.54,-4583.71,-0.05928256928422729,CohortTrend,CohortAvg,4045.09,0.012947469970219882,3959.437680605144,0.0126733151718731
2025-10-31,NRP-L,202404,18,312423.2,-13937.54,-4583.71,-0.05928256928422729,CohortTrend,CohortAvg,4045.09,0.012947469970219882,3968.6624247409823,0.0127028416095251
2025-10-31,NRP-L,202404,18,312423.2,-13937.54,-4583.71,-0.05928256928422729,CohortTrend,CohortAvg,4045.09,0.012947469970219882,3983.6453534037732,0.0127507987671971
2025-10-31,NRP-L,202405,17,474179.94,-19640.16,-6461.51,-0.05504591780074036,CohortTrend,CohortAvg,6170.33,0.013012633980256524,6115.0406409045245,0.0128960340264595
2025-10-31,NRP-L,202405,17,474179.94,-19640.16,-6461.51,-0.05504591780074036,CohortTrend,CohortAvg,6170.33,0.013012633980256524,5276.957914891576,0.01112859796408
2025-10-31,NRP-L,202405,17,474179.94,-19640.16,-6461.51,-0.05504591780074036,CohortTrend,CohortAvg,6170.33,0.013012633980256524,5295.5265725893705,0.0111677574816627
2025-10-31,NRP-L,202405,17,474179.94,-19640.16,-6461.51,-0.05504591780074036,CohortTrend,CohortAvg,6170.33,0.013012633980256524,5364.092804950385,0.0113123570873757
2025-10-31,NRP-L,202406,16,263352.54,-7111.75,-4105.34,-0.042593437678634126,CohortTrend,CohortAvg,3949.39,0.014996589742403853,3974.26828815449,0.0150910573642255
2025-10-31,NRP-L,202406,16,263352.54,-7111.75,-4105.34,-0.042593437678634126,CohortTrend,CohortAvg,3949.39,0.014996589742403853,3916.451195357501,0.0148715147966961
2025-10-31,NRP-L,202406,16,263352.54,-7111.75,-4105.34,-0.042593437678634126,CohortTrend,CohortAvg,3949.39,0.014996589742403853,3909.1421673741715,0.014843761018497
2025-10-31,NRP-L,202406,16,263352.54,-7111.75,-4105.34,-0.042593437678634126,CohortTrend,CohortAvg,3949.39,0.014996589742403853,3907.58760070868,0.0148378580313244
2025-10-31,NRP-L,202407,15,471704.42,-19033.5,-7131.14,-0.0554682951667063,CohortTrend,CohortAvg,6875.44,0.01457573791655376,6891.6162479444665,0.0146100311036824
2025-10-31,NRP-L,202407,15,471704.42,-19033.5,-7131.14,-0.0554682951667063,CohortTrend,CohortAvg,6875.44,0.01457573791655376,6592.56391878791,0.0139760486424696
