calendarmonth,openinggbv,principalcollections,interestcollections,interestrevenue,total_coll,coll_rate,rev_rate
201708,101216031.68,-4729573.909999999,-3135452.9699999997,3864931.230339,-7865026.879999999,-0.07770534716146262,0.03818497095952339
201709,105158931.86,-4271769.48,-2721523.34,3915531.277016,-6993292.82,-0.06650212869516683,0.03723441468793937
201710,108506164.19,-5619730.5,-3890382.77,4149133.0084329997,-9510113.27,-0.0876458341421718,0.03823868477340743
201711,112602551.87,-5180108.88,-3470122.4299999997,4212832.128988,-8650231.309999999,-0.07682091716701694,0.03741329178624413
201712,118583804.64,-4260645.95,-2999414.34,4530187.463035,-7260060.29,-0.061223033887639985,0.03820241285720144
201801,123236057.21,-6239942.51,-4360892.25,4598676.1983239995,-10600834.76,-0.08602056086503711,0.03731599584111686
201802,127929842.54,-5712137.53,-3939050.41,4523191.822218999,-9651187.940000001,-0.0754412555223958,0.03535681536389546
201803,131536422.41000001,-5287649.78,-3294076.65,5025500.661454,-8581726.43,-0.06524220647609447,0.03820615286152056
201804,135496854.47,-6763133.26,-4721126.31,4791624.713129,-11484259.57,-0.08475665073496375,0.035363364942098345
201805,138290194.43,-6250236.89,-3943237.35,5049505.656451,-10193474.24,-0.07371075210368405,0.03651383727721179
201806,143174404.79999998,-5587202.61,-3529151.96,5055836.189475,-9116354.57,-0.06367307468632132,0.035312430294629035
201807,148047213.42,-7236802.58,-4949300.84,5305645.220173,-12186103.42,-0.08231227821511806,0.035837521677096626
201808,151368912.89999998,-6588101.300000001,-4398624.03,5299294.287723,-10986725.330000002,-0.07258244192622462,0.03500913223327378
201809,153762966.37,-5626244.24,-3555322.9,5270808.905957,-9181567.14,-0.059712474055075036,0.03427879306954736
201810,159790773.87,-8083520.11,-5316777.86,5465820.772735,-13400297.97,-0.08386152495201005,0.034206109904579306
201811,162213069.44,-7108271.23,-4525253.91,5341088.511006,-11633525.14,-0.07171755753196603,0.032926375966158404
201812,167094792.76,-6679029.88,-4530489.96,5581707.7418060005,-11209519.84,-0.06708479453396463,0.033404438580100254
201901,172075496.89000002,-7271388.78,-4465476.74,5053267.896348,-11736865.52,-0.06820765147929714,0.029366574484328365
201902,138417837.54,-7284175.38,-4694291.08,5001821.433569999,-11978466.46,-0.08653845973094662,0.03613567096888486
201903,144938066.38,-7020059.63,-3878336.6199999996,5619229.308618,-10898396.25,-0.07519347071615046,0.03876986528773919
201904,154068570.63,-9192351.59,-5723423.23,5539929.452305,-14915774.82,-0.0968125735119634,0.03595755727239981
201905,160851839.92000002,-8842930.959999999,-5070942.88,5923256.388848,-13913873.84,-0.08650117926484455,0.03682429987617141
201906,168102876.01,-7488529.84,-4193010.5999999996,5929659.799544999,-11681540.44,-0.06949042584676003,0.035273993760774565
201907,177026830.89,-10760826.690000001,-6343062.91,6241741.156463,-17103889.6,-0.09661749868090859,0.03525872956705337
201908,180986989.55,-8436841.07,-4781521.23,6272353.26537,-13218362.3,-0.07303487578231835,0.034656376576931686
201909,187936539.57,-10145846.34,-6230547.71,6016243.27684,-16376394.05,-0.08713789286250186,0.032012099885446454
201910,178750940.04,-9704751.78,-5370580.159999999,6348597.188038,-15075331.939999998,-0.08433707781691395,0.03551644084566684
201911,186092348.33,-8846131.05,-4687302.58,6295789.586255,-13533433.63,-0.07272428851293222,0.03383153387419559
201912,193152658.27,-10467553.49,-6457049.45,6650726.210832,-16924602.94,-0.08762293561780449,0.03443248604704797
202001,199903967.31,-10501588.86,-5737545.01,6498225.908961,-16239133.87,-0.0812346752719382,0.03250673809231565
202002,195163567.46,-8787096.92,-4563512.02,6245017.148863,-13350608.94,-0.06840728069154757,0.03199888806164068
