Cohort,Segment,ForecastMonth,OpeningGBV,Coll_Principal,Coll_Interest,InterestRevenue,ClosingGBV,Principal_Rate,Interest_Rate,Revenue_Rate
202507,NRP-S,2026-02-01,2436115.398456838,-104679.98256848141,-42389.822259040775,75825.65467374808,2289045.593629316,-0.0429700426485507,-0.017400580566049,0.0311256415528509
202507,NRP-S,2026-03-01,2289045.593629316,-98360.38678272876,-39830.722271306375,71248.0126454389,2150854.484575281,-0.0429700426485507,-0.017400580566049,0.0311256415528509
202507,NRP-S,2026-04-01,2150854.484575281,-92422.30893302635,-37426.116744699975,66946.72571923207,2021006.0588975546,-0.0429700426485507,-0.017400580566049,0.0311256415528509
202507,NRP-S,2026-05-01,2021006.0588975546,-86842.71654380728,-35166.67875232008,62905.11016538516,1898996.6636014273,-0.0429700426485507,-0.017400580566049,0.0311256415528509
202507,NRP-S,2026-06-01,1898996.6636014273,-81599.96762440882,-33043.64443965489,59107.48946131781,1784353.0515373636,-0.0429700426485507,-0.017400580566049,0.0311256415528509
202507,NRP-S,2026-07-01,1784353.0515373636,-76673.7267246321,-31048.77903155128,55539.133485887665,1676630.5457811803,-0.0429700426485507,-0.017400580566049,0.0311256415528509
202507,NRP-S,2026-08-01,1676630.5457811803,-72044.88605808016,-29174.344891364137,52186.201384545784,1575411.3148317358,-0.0429700426485507,-0.017400580566049,0.0311256415528509
202507,NRP-S,2026-09-01,1575411.3148317358,-67695.49138732902,-27413.07150839481,49035.687883758146,1480302.751936012,-0.0429700426485507,-0.017400580566049,0.0311256415528509
202507,NRP-S,2026-10-01,1480302.751936012,-63608.6723834574,-25758.127297206625,46075.37284645907,1390935.952255348,-0.0429700426485507,-0.017400580566049,0.0311256415528509
202507,NRP-S,2026-11-01,1390935.952255348,-59768.57718981478,-24203.09309943327,43293.773872873295,1306964.2819661,-0.0429700426485507,-0.017400580566049,0.0311256415528509
202507,NRP-S,2026-12-01,1306964.2819661,-56160.310936215756,-22741.937285299507,40680.10176285598,1228062.0337445848,-0.0429700426485507,-0.017400580566049,0.0311256415528509
202507,NRP-S,2027-01-01,1228062.0337445848,-52769.877965070715,-21368.992358278636,38224.21866699903,1153923.1634212353,-0.0429700426485507,-0.017400580566049,0.0311256415528509
202507,NRP-S,2027-02-01,1153923.1634212353,-49584.12754536102,-20078.932972141334,35916.59876418116,1084260.102903733,-0.0429700426485507,-0.017400580566049,0.0311256415528509
202507,NRP-S,2027-03-01,1084260.102903733,-46590.70286389538,-18866.755275128988,33748.291313038826,1018802.6447647087,-0.0429700426485507,-0.017400580566049,0.0311256415528509
202507,NRP-S,2027-04-01,1018802.6447647087,-43777.99309599578,-17727.757501132113,31710.88593404281,957296.8941675809,-0.0429700426485507,-0.017400580566049,0.0311256415528509
202507,NRP-S,2027-05-01,957296.8941675809,-41135.08836970608,-16657.521732591475,29796.479987517567,899504.2840652834,-0.0429700426485507,-0.017400580566049,0.0311256415528509
202507,NRP-S,2027-06-01,899504.2840652834,-38651.73744883929,-15651.89676438419,27997.647921069783,845200.6498520599,-0.0429700426485507,-0.017400580566049,0.0311256415528509
