Month,Budget_GBV,Actual_GBV,GBV_Diff,Budget_Coll,Actual_Coll,Coll_Diff,Budget_Coll_Rate,Actual_Coll_Rate,Budget_Rev,Actual_Rev,Rev_Diff
2027-03-31,150276195.85725543,127256943.68947451,-23019252.16778092,-7805809.484482748,-8362630.348285087,-556820.863802339,-0.0519430867939812,-0.06571453082113243,3353427.475490158,2839750.693586528,-513676.7819036301
2027-04-30,145823813.84826288,122247740.81667961,-23576073.031583264,-7482383.054091023,-7996602.230189888,-514219.1760988645,-0.0513111189224335,-0.06541308801920062,3256843.876124277,2730293.4653945933,-526550.4107296835
2027-05-31,141598274.67029607,117507982.46261394,-24090292.207682133,-7176091.168602206,-7651461.552298045,-475370.383695839,-0.0506792274504145,-0.06511439811956958,3165461.248919721,2626917.353267524,-538543.8956521973
2027-06-30,137587644.75061363,113021982.15923566,-24565662.591377974,-6885965.319367087,-7325906.713749453,-439941.394382366,-0.050047846460693,-0.06481842358266243,3079050.9041954624,2529300.047196321,-549750.8569991412
2027-07-31,133780730.335442,108775126.34968166,-25005603.985760346,-6611097.803970266,-7018728.901801287,-407631.09783102106,-0.0494174145065106,-0.06452512754835175,2997336.069261032,2437089.4734153757,-560246.5958456565
2027-08-31,130166968.60073276,104753733.51714139,-25413235.08359137,-6350633.392591948,-6728800.953222842,-378167.56063089427,-0.0487883635983837,-0.06423447382065646,2920081.4334536893,2349977.3837910322,-570104.0496626571
2027-09-30,126736416.64159451,100945013.99737225,-25791402.64422226,-6103790.138188191,-6455072.953742968,-351282.81555477716,-0.048161296491832,-0.06394642685285083,2847069.6174885826,2267678.777770922,-579390.8397176606
2027-10-31,123479696.12089486,97337010.66111782,-26142685.459777042,-5869784.918292642,-6196566.737529206,-326781.81923656445,-0.0475364379950022,-0.06366095173297204,2778095.0594602786,2189926.578338287,-588168.4811219918
2027-11-30,120388006.26206256,93918538.98304896,-26469467.279013604,-5647907.3136509005,-5952370.494466551,-304463.18081565015,-0.0469142025772604,-0.06337801416971439,2712963.7243570574,2116469.8811522597,-596493.8432047977
2027-12-31,117453062.6727687,90679132.21293944,-26773930.459829256,-5437491.844657012,-5721633.842544438,-284141.99788742606,-0.046295019652286,-0.06309758047869796,2651492.2300554784,2047073.1798680185,-604419.0501874599
