Cohort,Segment,CalendarMonth,OpeningGBV,Coll_Principal,Coll_Interest,InterestRevenue,ClosingGBV,Actual_Coll_Rate,Actual_Revenue_Rate,Actual_Principal_Rate,Actual_Interest_Rate
202202,NRP-L,202401,59127.83,-1987.55,-622.6,722.183248,57239.86,-0.0441441872634257,0.012213931206337186,-0.03361445870751556,-0.010529728555910136
202202,NRP-L,202402,57239.86,-1441.86,-567.54,665.0761210000001,55895.53,-0.03510490766399498,0.011619108100543923,-0.02518978907355818,-0.009915118590436802
202202,NRP-L,202403,55895.53,-11954.64,-707.74,632.13703,43946.07,-0.22653654057846842,0.011309259076709712,-0.21387470518662224,-0.012661835391846182
202202,NRP-L,202404,43946.07,-1609.41,-444.82000000000005,518.755939,42410.58,-0.04674433914113367,0.011804376113723024,-0.03662238739436769,-0.010121951746765981
202202,NRP-L,202405,42410.58,-1027.77,-376.74,520.4804790000001,41432.829999999994,-0.03311697222721311,0.012272420678990951,-0.024233811468741998,-0.008883160758471117
202202,NRP-L,202406,41432.83,-1026.85,-397.75,374.035549,29206.02,-0.034383362179218745,0.009027516319787956,-0.024783486911224742,-0.009599875267994003
202202,NRP-L,202407,29206.02,-1038.1699999999998,-383.14,370.348938,28155.059999999998,-0.048664967017073874,0.012680568526625673,-0.03554643871366245,-0.01311852830341142
202202,NRP-L,202408,28155.059999999998,-1061.33,-367.74,346.899015,27012.75,-0.050757128558774164,0.012321018495432084,-0.03769588841224277,-0.01306124014653139
202202,NRP-L,202409,27012.75,-7441.99,-341.69,324.054687,19550.43,-0.28814837437876556,0.01199636049643224,-0.275499162432555,-0.012649211946210586
202202,NRP-L,202410,19550.43,-860.65,-154.64,317.970168,18752.35,-0.05193185009229976,0.01626410099419808,-0.04402204964289788,-0.00790980044940188
202202,NRP-L,202411,18752.35,-781.62,-233.67,289.583842,18029.15,-0.05414201420088682,0.015442536108807697,-0.041681175959279775,-0.012460838241607052
202202,NRP-L,202412,18029.15,-883.15,-132.14,281.84128799999996,17200.93,-0.056313802924708035,0.01563253331410521,-0.04898456111353003,-0.007329241811178008
202202,NRP-L,202501,17200.93,-821.9000000000001,-212.96,258.624506,16440.010000000002,-0.0601630260689393,0.015035495522625812,-0.047782300143073664,-0.012380725925865636
202202,NRP-L,202502,16440.010000000002,-950.99,-105.97,226.827337,15529.35,-0.06429193169590529,0.013797274880003112,-0.05784607186978596,-0.0064458598261193266
202202,NRP-L,202503,15529.35,-334.85,-177.66,239.547809,15253.96,-0.03300266913940377,0.01542548844607147,-0.021562396365591607,-0.011440272773812168
202202,NRP-L,202504,15253.96,-334.48,-185.68,211.795336,14959.650000000001,-0.03409999763995711,0.013884613306970781,-0.021927420814005023,-0.012172576825952082
202202,NRP-L,202505,14959.650000000001,-437.68,-82.48,208.72240399999998,14569.050000000001,-0.034770866965470444,0.013952358778447355,-0.02925736898924774,-0.005513497976222705
202202,NRP-L,202506,14569.050000000001,-337.2,-182.95999999999998,190.693607,14261.34,-0.03570308290519972,0.013088952745717804,-0.02314495454405057,-0.012558128361149145
202202,NRP-L,202507,14261.34,-446.85,-73.31,186.58093300000002,13855.09,-0.03647343096791747,0.013082987503278094,-0.0313329602968585,-0.005140470671058961
202202,NRP-L,202508,13855.09,-367.57,-152.59,148.633873,12993.24,-0.037542881352629245,0.010727745038105129,-0.026529600312953577,-0.011013281039675672
202202,NRP-L,202509,12993.24,-353.96000000000004,-166.2,133.20007,12634.24,-0.04003312491726468,0.01025149000557213,-0.027241858073890735,-0.01279126684337394
202202,NRP-M,202202,228517.3,-76013.81,-480.82000000000005,31694.892252999998,3893669.7399999998,-0.3347432776424367,0.13869799902676952,-0.3326391918686244,-0.0021040857738123114
202202,NRP-M,202203,3893669.74,-125186.94,-57207.44,57221.115886,3768819.0100000002,-0.046843823996228294,0.014695934608465277,-0.03215140172622858,-0.014692422269999715
