ForecastMonth,Cohort,Segment,OpeningGBV,Coll_Principal,Coll_Interest,InterestRevenue,PQ_Revenue_Rate,v32_Revenue_Rate,ScenA_Revenue,ScenB_Revenue
2025-10-31,202503,NON PRIME,7538149.37,-426079.49,-217066.3,211559.62,0.0347631873764749,0.028065193407012575,262050.09902116624,211559.62
2025-10-31,202503,NRP-L,83860.81,-5250.0,-1436.48,1339.25,0.0178243636566151,0.015969914910194644,1494.765573978304,1339.25
2025-10-31,202503,NRP-M,6162266.52,-130106.16,-96225.91,96883.92,0.0168296385885087,0.01572212426800391,103708.71841766722,96883.92
2025-10-31,202503,NRP-S,2647482.42,-126654.03,0.0,48542.33,0.0213043809831144,0.018335279446350394,56402.97412177769,48542.33
2025-10-31,202504,NON PRIME,9246422.14,-578885.2,-278270.78,284188.1,0.0356338912627711,0.030734925974296903,329486.0011064393,284188.1
2025-10-31,202504,NRP-L,62697.2,-761.39,-959.58,983.27,0.0166366017843202,0.015682837511085027,1043.0683493918805,983.27
2025-10-31,202504,NRP-M,7795952.8,-220012.99,-130926.02,128164.37,0.0164275860246004,0.016439859666672173,128068.68526572434,128164.37
2025-10-31,202504,NRP-S,2373847.23,-127605.18,0.0,47002.65,0.020487502908049,0.019800200032248916,48634.202027889056,47002.65
2025-10-31,202504,PRIME,4661.92,-1309.59,-65.55,51.9,0.011135166842726,0.011132752170779421,51.91125700744119,51.9
2025-10-31,202505,NON PRIME,9953254.19,-559819.07,-345011.28,314538.15,0.0343489874306925,0.03160153895356309,341884.20306679746,314538.15
2025-10-31,202505,NRP-L,16425.98,-277.25,-242.39,253.14,0.0157966823854198,0.015410952649400523,259.47598892925794,253.14
2025-10-31,202505,NRP-M,7268939.3,-169561.82,-117546.76,121250.84,0.016636899719721,0.016680678568880055,120932.61420283897,121250.84
2025-10-31,202505,NRP-S,2437021.07,-139901.53,0.0,49041.41,0.0204843399464785,0.020123506769680905,49920.76805461077,49041.41
2025-10-31,202506,NON PRIME,10973736.76,-565318.75,-369079.26,360397.72,0.035520772510527,0.032841841196125064,389795.6070423676,360397.72
2025-10-31,202506,NRP-L,29971.3,-419.87,-511.49,462.06,0.0158719014754618,0.015416748689579698,475.7015206915082,462.06
2025-10-31,202506,NRP-M,7085059.32,-118827.59,-121328.45,118245.35,0.0167330498622469,0.016689394493312443,118554.65087853711,118245.35
2025-10-31,202506,NRP-S,2767480.41,-132690.69,0.0,56473.97,0.0206818517867955,0.02040627633566519,57236.61966248005,56473.97
2025-10-31,202507,NON PRIME,13508660.83,-693053.23,-472238.75,462603.32,0.0377833333333333,0.03424494299040003,510402.2350268329,462603.32
2025-10-31,202507,NRP-L,114199.52,-1320.4,-1771.27,1807.73,0.01685,0.015829576166344658,1924.2619120000002,1807.73
2025-10-31,202507,NRP-M,8680064.72,-271991.87,-150910.96,146406.18,0.0155583333333333,0.01686694566489361,135047.3402686664,146406.18
